2024-05-23 14:19:19.329 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:37.500 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:42.328 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:43.829 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:45.492 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:19:48.108 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:20:05.865 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:20:08.422 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:20:14.732 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:23:36.256 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:23:41.283 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:23:54.028 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:24:02.084 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:29:30.044 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:29:31.519 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 14:29:36.800 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
